Shortcut,Expansion
اذا,إذا
ان,إن
Anne,أن
الى,إلى
هي,هي
هو,هو
انت,أنت
أنتم,أنتم
التي,التي
الذي,الذي
او,أو
لاكن,لكن
طبعن,طبعا
شكرن,شكرا
فعلا,فعلا
دحك,ضحك
دحكت,ضحكت
حتة,حتى
الدونيا,الدنيا
كورة,كرة
ازا,اذا
لقدر,لا قدر
تلع,طلع
مل اخر,من الاخر
دلوؤتي,دلوقتي
فازورة,فزورة
كالمات,كلمات
لي ان,لان
دعي,دعا
قرأت,قرأته
قولتلو,قلت له
انشاء الله,إن شاء الله
والهي,والله
صالاة,صلاة
أصابكم الله,أثابكم الله
موأسره,مؤثرة
ونا,وانا
دحين,الآن
ماشاء الله,ما شاء الله
ان شاء الله,إن شاء الله
يالله,يا الله
اخواني,إخواني
البعظ,البعض
البعظي,البعضي
العوظ,العوض
الظحوة,الضحوة
الظمن,الضمن
الظمني,الضمني
الأظحى,الأضحى
البظع,البضع
البظعي,البضعي
الظاد,الضاد
الرياظ,الرياض
الأظلع,الأضلع
الظلوع,الضلوع
البياظ,البياض
الأرظ,الأرض
الأرظة,الأرضة
المبظع,المبضع
البعوظ,البعوض
البيظة,البيضة
البيوظ,البيوض
الحظرة,الحضرة
الحظون,الحضون
الحماظ,الحماض
الحمظ,الحمض
الحموظ,الحموض
الحياظ,الحياض
الحوظ,الحوض
الحيظة,الحيضة
الحيظ,الحيض
الخظوب,الخضوب
الخظار,الخضار
الخظرة,الخضرة
الخظر,الخضر
الخظم,الخضم
المخوظ,المخوض
الدحظ,الدحض
الدحاظ,الدحاض
الربظ,الربض
الربيظ,الربيض
المربظ,المربض
الرظاب,الرضاب
الرظوخ,الرضوخ
الرظاظ,الرضاض
الرظفة,الرضفة
الرظف,الرضف
المركظ,المركض
الروظة,الروضة
الروظ,الروض
الظأن,الضأن
الظب,الضب
الأظب,الأضب
الظبان,الضبان
الظباب,الضباب
الظبة,الضبة
الظبع,الضبع
الظباع,الضباع
الظبن,الضبن
الظجة,الضجة
المظجع,المضجع
الظحكة,الضحكة
الظحية,الضحية
الظحى,الضحى
المظخة,المضخة
الظد,الضد
الظديد,الضديد
الظريب,الضريب
المظرب,المضرب
الظريح,الضريح
الظراء,الضراء
المظرة,المضرة
المظار,المضار
الظرس,الضرس
الظرع,الضرع
الظروع,الضروع
الظرام,الضرام
الظعف,الضعف
الظغث,الضغث
المظغط,المضغط
الظيم,الضيم
الظيوم,الضيوم
الظغن,الضغن
الظفدع,الضفدع
الظفة,الضفة
الظفاف,الضفاف
الظفف,الضفف
الظمر,الضمر
الظمير,الضمير
الظيقة,الضيقة
الظيق,الضيق
المظيق,المضيق
العراظ,العراض
العرظ,العرض
العرظة,العرضة
العروظ,العروض
المعرظ,المعرض
العظد,العضد
الأعظد,الأعضد
العظاظ,العضاض
العظلة,العضلة
الغرظ,الغرض
الغظون,الغضون
الغظا,الغضا
الغظار,الغضار
الغظن,الغضن
الغمظ,الغمض
الفرظة,الفرضة
الفرظ,الفرض
الفراظ,الفراض
الفظلة,الفضلة
الفظل,الفضل
الفوظى,الفوضى
القباظ,القباض
القبظة,القبضة
المقبظ,المقبض
القريظ,القريض
القظيب,القضيب
القظة,القضة
القظاظ,القضاض
القظاع,القضاع
القظية,القضية
المخاظ,المخاض
المخيظ,المخيض
الظرم,الضرم
المظير,المضير
المظاظ,المضاض
الماظغ,الماضغ
المنبظ,المنبض
النبظة,النبضة
النظد,النضد
النظاظ,النضاض
النفاظ,النفاض
النفظ,النفض
النقظ,النقض
النقوظ,النقوض
الوظوء,الوضوء
الموظع,الموضع
الظجعة,الضجعة
الظربة,الضربة
الظغمة,الضغمة
الظمة,الضمة
الغيظة,الغيضة
الغياظ,الغياض
الغظبة,الغضبة
النهظة,النهضة
النهاظ,النهاض
الهظبة,الهضبة
الهظاب,الهضاب
البظ,البض
البظة,البضة
البغظ,البغض
التبيظ,التبيض
التحظر,التحضر
التخظب,التخضب
التروظ,التروض
التريظ,التريض
التظاد,التضاد
التظام,التضام
التظخم,التضخم
التظرج,التضرج
التظرر,التضرر
التظرع,التضرع
التظرم,التضرم
التظلع,التضلع
التظمخ,التضمخ
التظمد,التضمد
التظمن,التضمن
التظور,التضور
التظوع,التضوع
التظيق,التضيق
التعاظ,التعاض
التعرظ,التعرض
التعوظ,التعوض
التغظب,التغضب
التغظن,التغضن
التفظل,التفضل
التفظي,التفضي
التقبظ,التقبض
التقظب,التقضب
التقظي,التقضي
التقيظ,التقيض
التقوظ,التقوض
التمخظ,التمخض
التمظي,التمضي
التنظح,التنضح
التنظد,التنضد
التنقظ,التنقض
التوظؤ,التوضؤ
التوظح,التوضح
الحظور,الحضور
الخوظ,الخوض
الخظاب,الخضاب
الخظب,الخضب
الخظوع,الخضوع
الرظاء,الرضاء
الرظع,الرضع
الرظ,الرض
الرظاع,الرضاع
الرظا,الرضا
الرظى,الرضى
الرفظ,الرفض
الركظ,الركض
الرمظ,الرمض
الظوء,الضوء
الظياء,الضياء
الظور,الضور
الظير,الضير
الظياع,الضياع
الظيعة,الضيعة
الظيع,الضيع
الظيف,الضيف
الظبط,الضبط
الظيوف,الضيوف
الظباح,الضباح
الظبح,الضبح
الظبر,الضبر
الظبور,الضبور
الظجيج,الضجيج
الظجر,الضجر
الظحو,الضحو
الظحك,الضحك
الظحل,الضحل
الظرر,الضرر
الظروب,الضروب
الظغاء,الضغاء
الظراط,الضراط
الظغط,الضغط
الظغوط,الضغوط
الظغم,الضغم
الظف,الضف
الظفور,الضفور
الظم,الضم
الظماد,الضماد
الظمد,الضمد
الظمور,الضمور
الظمان,الضمان
الظنى,الضنى
الظنك,الضنك
الظآلة,الضآلة
الغريظ,الغريض
الغظ,الغض
الغظاظ,الغضاض
الغظب,الغضب
الغظر,الغضر
الغموظ,الغموض
الفيظ,الفيض
الفروظ,الفروض
الفظاء,الفضاء
الفظح,الفضح
الفظول,الفضول
القبظ,القبض
القرظ,القرض
القروظ,القروض
القظظ,القضض
القظ,القض
القظب,القضب
القظم,القضم
القظاء,القضاء
المحظ,المحض
المخظ,المخض
المرظ,المرض
المظي,المضي
المظظ,المضض
المظ,المض
المظغ,المضغ
المظاء,المضاء
النظال,النضال
النبظ,النبض
النظ,النض
النظيظ,النضيض
النظوب,النضوب
النظج,النضج
النظح,النضح
النظوح,النضوح
النظخ,النضخ
النهوظ,النهوض
الهيظ,الهيض
الهظم,الهضم
الوظح,الوضح
الوظع,الوضع
الظعة,الضعة
الوميظ,الوميض
المظيف,المضيف
