Shortcut,Expansion
(c),©
(r),®
(tm),™
+-,±
-->,à
...,…
:(,L
:),J
:-(,L
:-),J
:-|,K
:|,K
<--,ß
<==,ç
<=>,ó
==>,è
aar,►►
abbout,about
abd,abdominal
abn,abnormal
abotu,about
abouta,about a
aboutit,about it
aboutthe,about the
abscence,absence
accesories,accessories
accidant,accident
accomodate,accommodate
accordingto,according to
accross,across
acheive,achieve
acheived,achieved
acheiving,achieving
acn,can
acommodate,accommodate
acomodate,accommodate
actualyl,actually
additinal,additional
addtional,additional
adequit,adequate
adequite,adequate
adj,adjacent
adm,administration
advanage,advantage
af,active focal
affraid,afraid
afi,(AFI:)
afterthe,after the
againstt he,against the
aganist,against
aggresive,aggressive
agian,again
agreemeent,agreement
agreemeents,agreements
agreemnet,agreement
agreemnets,agreements
agressive,aggressive
ahppen,happen
ahve,have
allwasy,always
allwyas,always
almots,almost
almsot,almost
alomst,almost
alot,a lot
alraedy,already
alreayd,already
alreday,already
alwasy,always
alwats,always
alway,always
alwyas,always
amde,made
ameria,America
amke,make
amkes,makes
anbd,and
andone,and one
andt he,and the
andteh,and the
andthe,and the
ang,°
anothe,another
anteior,anterior
anteiror,anterior
anual,annual
ap,AP
apparant,apparent
apparrent,apparent
appearence,appearance
appeares,appears
applicaiton,application
applicaitons,applications
applyed,applied
appointiment,appointment
approrpiate,appropriate
approrpriate,appropriate
aquisition,acquisition
aquisitions,acquisitions
aren;t,aren’t
arguement,argument
arguements,arguments
arn't,aren’t
arond,around
artical,article
articel,article
asdvertising,advertising
askt he,ask the
assistent,assistant
asthe,as the
atention,attention
atmospher,atmosphere
attentioin,attention
atthe,at the
audeince,audience
audiance,audience
availalbe,available
avf,AVF
awa,as well as
awya,away
aywa,away
bakc,back
balence,balance
ballance,balance
baout,about
bb,broad based
bcak,back
bd,(by: BPD)
beacuse,because
becasue,because
becaus,because
becausea,because a
becauseof,because of
becausethe,because the
becauseyou,because you
becomeing,becoming
becomming,becoming
becuase,because
becuse,because
befoer,before
beggining,beginning
begining,beginning
beginining,beginning
beleiev,believe
beleieve,believe
beleif,belief
