Shortcut,Expansion
(c),©
(r),®
(tm),™
+-,±
-->,�
...,�
:(,L
:),J
:-(,L
:-),J
:-|,K
:|,K
<--,?
<==,�
<=>,?
==>,�
>>,►►
aaa,aditus ad antrum
abbout,about
abd,abdominal
abn,abnormal
abotu,about
abouta,about a
aboutit,about it
aboutthe,about the
abscence,absence
aca,after contrast administration
accesories,accessories
accidant,accident
accomodate,accommodate
accordingto,according to
accross,across
acheive,achieve
acheived,achieved
acheiving,achieving
acn,can
acommodate,accommodate
acomodate,accommodate
actualyl,actually
ada,(as detailed above).
additinal,additional
addtional,additional
adeno,Bulky uterus specially at anterior and posterior wall of fundus body level with coarse heterogeneous myometrial structure and effaced myometrial-endometrial interface indicating diffuse adenomyosis.
adequit,adequate
adequite,adequate
adj,adjacent
adm,administration
advanage,advantage
af,active focal
affraid,afraid
afi,(AFI:)
afterthe,after the
againstt he,against the
aganist,against
aggresive,aggressive
agian,again
agreemeent,agreement
agreemeents,agreements
agreemnet,agreement
agreemnets,agreements
agressive,aggressive
ahppen,happen
ahve,have
ak,"Dr. Alem Alariqi, MD"
allwasy,always
allwyas,always
almots,almost
almsot,almost
alomst,almost
alot,a lot
alraedy,already
alreayd,already
alreday,already
alwasy,always
alwats,always
alway,always
alwyas,always
amde,made
ameria,America
amke,make
amkes,makes
ana,and normal appearing basal ganglia and thalamic regions.
anbd,and
andone,and one
andt he,and the
andteh,and the
andthe,and the
anothe,another
anteior,anterior
anteiror,anterior
anual,annual
aoj,atlanto-odontoid junction
aol,at other levels
ap,AP
apc,abdomino-pelvic cavities
apn,and practically no post-voiding residual urine.
app,appendix
apparant,apparent
apparrent,apparent
appearence,appearance
appeares,appears
applicaiton,application
applicaitons,applications
applyed,applied
appointiment,appointment
approrpiate,appropriate
approrpriate,appropriate
aquisition,acquisition
aquisitions,acquisitions
aren;t,aren�t
arguement,argument
arguements,arguments
arn't,aren�t
arond,around
artical,article
articel,article
asdvertising,advertising
askt he,ask the
assistent,assistant
asthe,as the
atention,attention
atmospher,atmosphere
ats,anterior thecal sac
attentioin,attention
atthe,at the
